symbol,num_articles_query,num_articles_global,num_articles_expected,score
DCHS2,8,142,0.05559732882373261,143.89180504271047
ARHGAP29,15,269,0.10532170037735263,142.4207921658798
SLMAP,10,180,0.07047548724135119,141.89330775045062
FRMD6,56,1042,0.4079747650304886,137.2633917585933
RASSF4,9,168,0.06577712142526111,136.82568961650594
PPP1R13B,14,263,0.10297251746930758,135.95860666583098
DCAF1,35,661,0.25880165036962854,135.2387048151042
CTTNBP2NL,2,38,0.014878158417618586,134.42523892147952
PATJ,29,557,0.21808247996351451,132.97721121316917
PLPP4,5,98,0.03836998749806898,130.31018058714852
DENND1C,2,40,0.01566121938696693,127.70397697540555
MAP4K2,9,180,0.07047548724135119,127.70397697540555
USP31,5,100,0.03915304846741733,127.70397697540554
RASSF3,5,101,0.0395445789520915,126.43958116376787
ANKRD17,9,182,0.07125854821069955,126.3006365690824
MSTO1,6,123,0.048158249614923314,124.58924582966395
RASSF10,7,144,0.05638038979308095,124.15664428164429
MIR3141,2,43,0.01683581084098945,118.79439718642377
MIR4677,2,43,0.01683581084098945,118.79439718642377
ZNF367,5,109,0.04267682282948489,117.1596119040418
STXBP4,6,132,0.05168202397699088,116.09452452309594
CTGF,496,10952,4.288041868151545,115.67051238093711
RASSF2,19,425,0.16640045598652364,114.18237941330379
DCHS1,18,411,0.16091902920108522,111.85749808064719
THAP9,4,92,0.03602080459002394,111.04693650035264
NF2,357,8401,3.28924760174773,108.53545954105411
DLG5,12,283,0.11080312716279105,108.30019248797643
FJX1,4,96,0.037586926528720636,106.41998081283795
MPP5,25,604,0.23648441274320067,105.71521272798472
ZYX,47,1149,0.4498685268906251,104.47496810868687
ABHD17A,2,49,0.01918499374903449,104.24814446971881
SCRIB,31,771,0.30187000368378764,102.69321105674635
SIAH2,33,825,0.32301264985619293,102.16318158032445
CTXN3,4,105,0.0411107008907882,97.29826817173755
SCHIP1,5,132,0.05168202397699088,96.74543710257996
STRIP2,4,107,0.04189376186013654,95.47960895357424
PTPN21,5,136,0.053248145915687564,93.89998307015114
WWP1,26,710,0.27798664411866303,93.52967327776182
SLK,34,941,0.36843018607839706,92.28342650720062
ARHGAP17,11,305,0.11941679782562285,92.11434404783351
NUAK2,11,306,0.11980832831029704,91.81331677970333
RASSF8,6,171,0.06695171287928363,89.61682594765303
SNX4,6,171,0.06695171287928363,89.61682594765303
MIR4709,2,57,0.022317237626427875,89.61682594765303
JCAD,4,115,0.04502600573752993,88.83754920028213
LINC00210,2,58,0.022708768111102052,88.07170825890037
MARK4,15,441,0.17266494374131042,86.87345372476568
MIR8075,2,59,0.023100298595776225,86.57896744095291
OTUD1,6,183,0.07165007869537371,83.74031277075774
ZMYM1,2,61,0.02388335956512457,83.74031277075774
MIR1910,2,62,0.024274890049798745,82.38966256477777
CC2D1B,2,62,0.024274890049798745,82.38966256477777
STK39,30,940,0.3680386555937229,81.51317679281205
LINC01123,3,94,0.03680386555937229,81.51317679281205
HDDC3,4,129,0.050507432522968354,79.19626479094917
MINDY1,3,97,0.03797845701339481,78.9921507064364
RASSF1,148,4796,1.8777802044973353,78.81646618999174
U2SURP,2,65,0.025449481503821262,78.58706275409573
STRN,12,390,0.15269688902292758,78.58706275409573
YOD1,9,294,0.11510996249420695,78.18610835228911
YWHAQ,124,4102,1.6060580481334588,77.20767013627639
NLK,26,866,0.33906539972783406,76.68137185590172
CAMTA1,19,643,0.25175410164549344,75.47046850801571
C2CD3,4,136,0.053248145915687564,75.11998645612091
USP17L2,7,238,0.09318425535245324,75.11998645612091
TBX5,64,2187,0.856277169982417,74.74215387678056
ARHGEF17,5,173,0.06773477384863198,73.81732773144829
NPHP4,11,381,0.14917311466086,73.73982922464363
MINK1,15,521,0.2039873825152443,73.53395987067498
GPRIN1,2,70,0.027407133927192132,72.97370112880317
LINC00662,6,210,0.0822214017815764,72.97370112880316
FGFR1OP2,3,108,0.04228529234481072,70.9466538752253
TP53BP2,23,835,0.3269279547029347,70.35189150740905
LINC00857,3,109,0.04267682282948489,70.29576714242508
MPDZ,13,483,0.1891092240976257,68.74334164307545
CROCC,6,223,0.08731129808234064,68.71962886568909
MIR6126,2,76,0.029756316835237172,67.21261946073976
TP73,172,6568,2.5715722233399703,66.88515237445114
LIN7C,4,153,0.05990416415514852,66.77332129432969
STXBP5L,2,77,0.03014784731991134,66.33972829891198
CTNNA1,26,1004,0.39309660661287,66.14150201913435
AREG,129,4999,1.9572608928861925,65.90843380607046
SH3BGRL2,2,78,0.030539377804585516,65.48921896174643
ACTL6A,15,586,0.22943686401906555,65.37746261539533
BCAR4,10,393,0.1538714804769501,64.98930125974837
TESK1,3,119,0.04659212767622662,64.3885598195322
MAP4K5,5,199,0.07791456645016048,64.17285275146007
RASSF7,7,282,0.11041159667811687,63.399137505520486
KCTD11,4,164,0.06421099948656442,62.294622914831976
FAT3,12,495,0.1938075899137158,61.917079745651165
MIR1266,4,167,0.06538559094058695,61.17555783252959
EIF4EBP3,3,128,0.05011590203829418,59.86123920722135
RAP2A,19,813,0.31831428404010287,59.689435732661885
SGSM3,2,86,0.0336716216819789,59.39719859321188
TNIK,9,391,0.15308841950760174,58.78955461783376
FAT2,9,394,0.1542630109616243,58.34191841515989
NAA30,2,89,0.034846213136001426,57.39504583164294
RAX2,3,135,0.052856615431013394,56.757323100180244
MIR591,2,91,0.03562927410534977,56.133616252925506
DDN,2,91,0.03562927410534977,56.133616252925506
USP51,2,92,0.03602080459002394,55.52346825017632
TAOK3,10,462,0.18088708391946806,55.28310691575998
MAP3K7CL,3,139,0.05442273736971009,55.12401883830455
MAP4K3,9,423,0.1656173950171753,54.342117861874705
BIRC5,88,4157,1.6275922247905383,54.06759669875241
PPP1R12A,26,1229,0.48119096566455893,54.032602137681764
BTRC,79,3781,1.480376762553049,53.364793340687854
SFN,33,1591,0.6229250011166096,52.97587982637817
APBA3,3,145,0.05677192027775513,52.843024955340226
RAB3IP,7,340,0.1331203647892189,52.58399051928464
MTRNR2L6,3,146,0.0571634507624293,52.48108642824886
STRN4,8,393,0.1538714804769501,51.9914410077987
TJP2,31,1528,0.5982585805821368,51.81705872038707
TMEM88,2,99,0.03876151798274315,51.597566454709316
CCDC80,6,297,0.11628455394822947,51.59756645470931
LLGL2,10,495,0.1938075899137158,51.59756645470931
MAP4K4,30,1500,0.58729572701126,51.08159079016222
CYS1,9,453,0.1773633095574005,50.74330210943266
MPP7,2,101,0.0395445789520915,50.57583246550715
MRVI1,4,203,0.07948068838885718,50.32669043365736
SYNPO2,5,254,0.09944874310724001,50.27715628952974
MIR1913,2,102,0.03993610943676568,50.079990970747275
GNA12,22,1130,0.4424294476818158,49.725442362104815
CAPZA2,7,360,0.14095097448270238,49.66265771265771
ARHGEF25,2,106,0.04150223137546237,48.19017999071907
LIFR,33,1756,0.6875275310878483,47.99807790647361
PDCD10,12,647,0.25332022358419015,47.37087244837299
HCAR1,9,486,0.19028381555164822,47.2977692501502
OTUB2,5,270,0.10571323086202679,47.2977692501502
ANKS6,2,108,0.04228529234481072,47.2977692501502
TANC2,3,162,0.06342793851721608,47.297769250150196
CARHSP1,2,109,0.04267682282948489,46.86384476161672
MIR607,2,110,0.043068353314159064,46.43780980923838
ISLR,3,166,0.06499406045591277,46.15806396701405
PARD3,28,1564,0.612353678030407,45.72520914720403
PARD6G,2,112,0.04385141428350741,45.60856320550198
ISX,3,168,0.06577712142526111,45.60856320550198
PARD6B,4,224,0.08770282856701482,45.60856320550198
RAB3GAP1,10,569,0.2227808457796046,44.88716238151337
CYP4A22,2,114,0.04463447525285575,44.80841297382651
TRAM2,2,114,0.04463447525285575,44.80841297382651
MAP4,19,1085,0.424810575871478,44.72581682087936
CSNK1E,11,630,0.2466642053447292,44.59503957871304
TRAF3IP3,2,117,0.045809066706878274,43.659479307830956
PPFIBP2,4,234,0.09161813341375655,43.659479307830956
PTPN23,3,177,0.06930089578732868,43.289483720476454
HERC4,2,119,0.04659212767622662,42.9257065463548
MIR550A3,2,119,0.04659212767622662,42.9257065463548
MIR624,2,119,0.04659212767622662,42.9257065463548
HMMR,30,1814,0.7102362991989504,42.23946316716832
HCG27,2,122,0.04776671913024914,41.87015638537887
LIN52,2,122,0.04776671913024914,41.87015638537887
MOB3B,2,123,0.048158249614923314,41.52974860988798
MIR1914,3,185,0.07243313966472205,41.41750604607748
RAB13,6,371,0.1452578098141183,41.305868563473496
HECW1,3,187,0.0732162006340704,40.97453806697504
IL17RB,33,2069,0.8100765727908645,40.736889706992585
ITCH,71,4538,1.7767653394513983,39.96025722897221
STXBP6,2,128,0.05011590203829418,39.90749280481424
LINC00668,2,128,0.05011590203829418,39.90749280481424
MIR572,5,320,0.12528975509573545,39.90749280481423
FAM19A5,2,130,0.050898963007642524,39.29353137704786
MIR665,9,591,0.23139451644243642,38.894612276773266
VEPH1,4,264,0.10336404795398176,38.69817484103198
CABYR,2,132,0.05168202397699088,38.69817484103198
TMOD4,2,133,0.05207355446166505,38.40721112042272
DHTKD1,2,133,0.05207355446166505,38.40721112042272
MIR1231,3,201,0.07869762741950882,38.12059014191211
RPL22L1,2,134,0.052465084946339224,38.1205901419121
NOLC1,18,1218,0.4768841303331431,37.74501782524302
ARRDC3,4,274,0.10727935280072348,37.28583269354906
ZUFSP,2,138,0.05403120688503591,37.01564550011755
DIAPH3,6,414,0.16209362065510774,37.01564550011755
SPATA13,2,138,0.05403120688503591,37.01564550011755
PWAR6,7,484,0.18950075458229987,36.93916689371235
MIR4319,2,139,0.05442273736971009,36.74934589220303
SLC7A5,43,3001,1.1749829845071942,36.59627464140245
ZDHHC7,2,140,0.054814267854384265,36.486850564401585
USP9X,22,1551,0.6072637817296428,36.22807857458313
MCAT,8,571,0.22356390674895296,35.78395151675112
TSPAN6,2,143,0.055988859308406774,35.721392160952604
HECW2,3,215,0.08417905420494726,35.63831915592713
ASAP3,2,144,0.05638038979308095,35.473326937612654
BDNF-AS,5,360,0.14095097448270238,35.473326937612654
DVL3,10,725,0.28385960138877564,35.22868330356015
PPP2R3A,4,292,0.1143269015248586,34.9873909521659
ARHGAP18,3,220,0.08613670662831813,34.828357356928784
MAML2,10,734,0.2873833757508432,34.79672397150014
NEDD4,38,2791,1.0927615827256179,34.774282515696235
PPM1E,2,147,0.057554981247103475,34.74938148990627
CRB1,12,884,0.3461129484519692,34.67076297974811
MIR4286,2,148,0.05794651173177765,34.51458837173123
LINC00173,2,148,0.05794651173177765,34.51458837173123
PPP1R14A,5,372,0.14564934029879245,34.329026068657406
NSUN6,2,149,0.05833804221645182,34.28294683903505
ACTBL2,2,149,0.05833804221645182,34.28294683903505
HEMGN,3,224,0.08770282856701482,34.206422404126485
MARK2,16,1195,0.46787892918563706,34.19688086370692
TAOK2,10,749,0.2932563330209558,34.09986034056223
LINC00968,2,150,0.058729572701126,34.05439386010814
MIR769,4,302,0.11824220637160034,33.82886807295511
YY1AP1,7,529,0.20711962639263765,33.796893717498634
LPAR4,5,380,0.14878158417618584,33.60630973036989
PPM1F,4,306,0.11980832831029704,33.386660647164845
PARD6A,12,919,0.35981651541556525,33.350331310225606
CDC14A,10,767,0.30030388174509093,33.299602861904965
E4F1,2,155,0.060687225124496855,32.95586502591111
ENC1,4,312,0.12215751121834206,32.744609480873216
SLC38A1,8,630,0.2466642053447292,32.432756057245854
FGFBP1,5,394,0.1542630109616243,32.41217689731105
TRIP6,4,316,0.12372363315703876,32.33012075326723
BCL9,12,951,0.37234549092513874,32.22813299063863
ARFGEF3,2,159,0.06225334706319355,32.12678666047938
ZFP91,2,160,0.06264487754786772,31.925994243851388
PAFAH1B2,2,161,0.0630364080325419,31.7276961429579
MAP4K1,6,484,0.18950075458229987,31.662143051753443
FBXW5,2,163,0.06381946900189024,31.338399257768234
UNC45B,2,163,0.06381946900189024,31.338399257768234
TLN2,4,329,0.128813529457803,31.052638778214117
SLC25A14,2,165,0.0646025299712386,30.958539872825586
RAPGEF6,2,165,0.0646025299712386,30.958539872825586
GPRC5A,8,663,0.25958471133897687,30.818455981998323
DCAF6,2,167,0.06538559094058695,30.587778916264796
GNA11,23,1938,0.7587860792985479,30.3115734822944
ARHGEF11,5,422,0.16522586453250113,30.261605918342546
CCNB1IP1,2,169,0.06616865190993527,30.2257933669599
AL592490.1,2,169,0.06616865190993527,30.2257933669599
PPP1CA,32,2706,1.059481491528313,30.203453534463982
WIPF1,9,764,0.2991292902910684,30.087324418289267
CEP250,5,425,0.16640045598652364,30.047994582448364
ZFHX4,4,342,0.13390342575856726,29.87227531588434
KLF5,29,2481,0.9713871324766238,29.854214689937617
DOCK5,3,258,0.10101486504593671,29.69859929660594
TMSB10,6,519,0.20320432154589593,29.526931092579318
BARX2,2,173,0.06773477384863198,29.526931092579314
CLSTN2,2,175,0.06851783481798032,29.18948045152127
MIR1304,2,175,0.06851783481798032,29.18948045152127
CAPZB,4,350,0.13703566963596064,29.18948045152127
PRKCI,9,789,0.30891755240792274,29.13398714267807
RGS12,2,176,0.0689093653026545,29.02363113077399
MAPK4,5,441,0.17266494374131042,28.957817908255226
MTRNR2L4,2,177,0.06930089578732868,28.85965581365097
GNPNAT1,2,177,0.06930089578732868,28.85965581365097
F2RL2,11,978,0.3829168140113415,28.726865986287546
PPP2CA,17,1521,0.5955178671894176,28.54658262435101
MIR3960,2,179,0.07008395675667702,28.537201558749842
VAC14,3,270,0.10571323086202679,28.378661550090122
USP21,5,453,0.1773633095574005,28.190723394129257
STARD13,4,365,0.14290862690607326,27.98991276173272
ARHGAP35,10,921,0.36059957638491363,27.731591091293275
MIR600,3,277,0.108453944254746,27.661511258210588
PFKM,16,1479,0.5790735868331023,27.63033984592953
PRPS2,2,186,0.07282467014939623,27.463220854925925
ANLN,8,745,0.2916902110822591,27.426357471228034
PPP2R2A,8,747,0.29247327205160745,27.35292679526759
LGALS4,53,4986,1.952170996585428,27.149261049725208
LPAR3,8,753,0.2948224549596525,27.13497518733717
MIR496,3,283,0.11080312716279105,27.075048121994108
EPB41L5,2,189,0.07399926160341876,27.02729671437154
AXL,91,8664,3.392220119217037,26.826089346172452
NEK8,7,672,0.26310848570104445,26.60499520320949
GRM3,7,672,0.26310848570104445,26.60499520320949
PRICKLE2,2,192,0.07517385305744127,26.604995203209487
FRY,2,193,0.07556538354211545,26.467145487130683
FBXL7,2,194,0.07595691402678963,26.330716902145472
PMEPA1,5,488,0.19106687652099655,26.168847740861796
MIR506,10,979,0.38330834449601564,26.08865719620134
CUL4A,14,1371,0.5367882944882916,26.081045625903393
BARX1,2,196,0.07673997499613797,26.062036117429702
RFWD3,2,198,0.0775230359654863,25.798783227354658
MICAL1,3,297,0.11628455394822947,25.798783227354654
MAP3K3,9,894,0.3500282532987109,25.712210129276286
CSNK1D,10,1002,0.3923135456435216,25.489815763554002
Z98749.3,2,203,0.07948068838885718,25.16334521682868
TP53AIP1,3,305,0.11941679782562285,25.12209383122732
RAPGEF2,3,305,0.11941679782562285,25.12209383122732
FKBPL,3,307,0.12019985879497119,24.95843198216395
VPS36,2,205,0.08026374935820553,24.917849165932786
HIPK2,14,1436,0.5622377759921128,24.90049690328242
TNRC6C,2,206,0.08065527984287969,24.79688873308846
MIR5093,3,309,0.12098291976431955,24.796888733088455
GNA13,17,1765,0.6910513054499159,24.600199530673024
NEK9,3,312,0.12215751121834206,24.558457110654913
GNAQ,37,3851,1.5077838964802412,24.539325619787096
RNF6,2,210,0.0822214017815764,24.324567042934387
BAIAP2L1,2,210,0.0822214017815764,24.324567042934387
TRPS1,7,736,0.28816643672019154,24.291517359452143
MIR181C,17,1790,0.7008395675667701,24.256621324937367
ROR1,17,1803,0.7059294638675344,24.081726107397607
PTPRB,6,638,0.24979644922212257,24.01955679788192
MIR520G,2,213,0.0833959932355989,23.981967507118416
WWP2,6,639,0.25018797970679674,23.981967507118412
PPP2R1B,4,427,0.167183516955872,23.925803648787923
DLG1,15,1607,0.6291894888713965,23.84019483050508
ATP6V0D1,2,215,0.08417905420494726,23.758879437284754
IQGAP1,17,1828,0.7157177259843888,23.752380837876306
LIN7A,3,324,0.12685587703443216,23.648884625075098
PAX3,35,3787,1.4827259454610944,23.605171344806937
WWOX,13,1408,0.551274922421236,23.581700293753865
USP17L9P,2,218,0.08535364565896977,23.43192238080836
NEK2,16,1746,0.6836122262411065,23.405081690795978
DACT2,2,219,0.08574517614364395,23.324927301443935
MAP3K2,7,770,0.3014784731991134,23.21890490461919
RAB11FIP5,2,221,0.0865282371129923,23.11384198649874
MIR100HG,3,332,0.12998812091182554,23.079031983507026
MKL1,14,1555,0.6088299036683394,22.994928329976563
LPAR2,9,1000,0.3915304846741733,22.986715855573
ERBB4,78,8677,3.3973100155178018,22.959341256382697
POLA2,2,223,0.08731129808234064,22.906542955229696
MIR4516,2,224,0.08770282856701482,22.80428160275099
ZNF185,5,561,0.2196486019022112,22.76363225943058
MKL2,4,450,0.176188718103378,22.702929240072095
PGGT1B,3,338,0.13233730381987055,22.669345025219922
USP2,9,1015,0.39740344194428584,22.647010695145813
YWHAH,5,564,0.22082319335623374,22.64254910911446
USP11,4,454,0.17775484004207467,22.502903431789523
PPA2,2,227,0.08887742002103734,22.502903431789523
SMURF1,14,1590,0.6225334706319355,22.48875066233557
PPM1A,8,909,0.3559012105688235,22.478147762447623
PRPF4B,3,341,0.1335118952738931,22.46990797221212
ESRP2,4,455,0.17814637052674884,22.45344650117021
NEDD4L,16,1822,0.7133685430763437,22.428799468786927
SIDT1,2,228,0.0892689505057115,22.404206486913257
MIR630,6,686,0.2685899124864829,22.33888810065403
NUP160,2,231,0.09044354195973403,22.11324276630399
PITPNM1,3,347,0.13586107818193813,22.081379304104708
AXIN2,36,4178,1.635814364968696,22.007387128360936
PEX2,3,349,0.13664413915128648,21.95483844849379
