symbol,num_articles_query,num_articles_global,num_articles_expected,score
SESN3,72,410,1.8144395459311766,39.68167479674797
DDIT4,385,2220,9.82452632187125,39.18763993159826
PA2G4,110,639,2.827870414268346,38.89852924129137
SESN2,250,1454,6.434622194594953,38.85231990931785
TELO2,22,128,0.566459175315099,38.83775028935185
NGDN,40,234,1.0355581798729154,38.62651155428934
TSC1,2021,11943,52.85329633428303,38.23791778695718
MIR6784,2,12,0.05310554768579054,37.6608487654321
RORC,1349,8267,36.58529689320253,36.87273616879248
BORCS6,5,31,0.13718933152162555,36.44598267622462
ETV7,94,584,2.5844699873751393,36.37109367072552
KPTN,22,139,0.6151392606937404,35.76425925925926
EEF2K,157,1048,4.637884497892373,33.851640779615494
MTOR,16735,112487,497.8069785442933,33.6174475676037
STRADA,89,623,2.7570630173539588,32.28072751322751
FLCN,126,894,3.9563633025913947,31.847429157345267
NRSN2,9,64,0.2832295876575495,31.776341145833335
ULK1,983,7139,31.593375410738222,31.1141176661323
SGK1,503,3721,16.467145244902216,30.545670941702248
SLC38A2,99,745,3.296969418826163,30.027576062639817
TTI2,11,84,0.3717388338005338,29.590666887125217
RPS6KA1,391,3059,13.537489197569437,28.882756196045673
FCHSD1,4,32,0.14161479382877476,28.245636574074076
RB1CC1,320,2596,11.488500149359352,27.85394053529647
PIK3CD,1461,11889,52.614321369696974,27.768104994345848
SEC13,80,657,2.907528735797032,27.514775353740347
ULK2,99,836,3.699686488776741,26.759024122807016
PDK1,1073,9075,40.161070437379095,26.717415355575962
TMEM117,2,17,0.0752328592215366,26.58412854030501
GRB10,130,1123,4.969794170928565,26.158024966195043
SLC38A7,31,272,1.2037257475445855,25.75337452342048
MAP4K3,48,423,1.8719705559241164,25.641428946677173
PIK3C3,464,4103,18.157671846233214,25.553936866430163
RPS6KB2,161,1438,6.363814797680566,25.299290617112245
MIR1273H,2,18,0.07965832152868581,25.107232510288064
AL032819.3,2,18,0.07965832152868581,25.107232510288064
KIAA1024,2,18,0.07965832152868581,25.107232510288064
LARP1,60,540,2.3897496458605745,25.107232510288064
HSPA4L,35,316,1.3984460890591508,25.027779242850446
PDPK1,184,1670,7.390522052939183,24.896752716788647
PIK3CB,448,4155,18.387795886204973,24.363985916120694
UBASH3B,324,3050,13.497660036805096,24.004160655737703
GLMP,2,19,0.08408378383583502,23.785799220272903
MIR6777,2,19,0.08408378383583502,23.785799220272903
CCDC130,2,19,0.08408378383583502,23.785799220272903
PRKAA2,1258,11977,53.0037620527261,23.734164355137473
MKNK1,92,879,3.889981367984157,23.65049888341128
TFEB,323,3106,13.74548592600545,23.49862360186974
UNKL,3,29,0.12833840690732712,23.375699233716478
MIR4511,3,29,0.12833840690732712,23.375699233716478
MAP1LC3B,735,7206,31.889881385317217,23.04806314953588
INPP4B,84,826,3.6554318657052485,22.979500941619587
CAB39,68,670,2.9650597457899717,22.933770591487008
EIF4G1,412,4067,17.998355203175844,22.89098061178956
LARS,92,912,4.036021624120081,22.794724252761533
LDLRAD2,2,20,0.08850924614298422,22.59650925925926
MIR4658,2,20,0.08850924614298422,22.59650925925926
MIR548X,2,20,0.08850924614298422,22.59650925925926
PIK3R6,12,120,0.5310554768579054,22.596509259259257
POLDIP3,31,311,1.3763187775234047,22.523851673216626
PIK3C2G,33,333,1.4736789482806874,22.39293710377044
GNB1L,22,223,0.9868780944942742,22.292520345457564
ATG101,74,751,3.3235221926690577,22.265535089017114
SLC36A4,22,224,0.9913035568014235,22.193000165343914
MIOS,24,247,1.0930891898658552,21.956122357174987
MAP1LC3A,1554,16002,70.81624783900168,21.944116603480122
MIR4999,2,21,0.09293470845013345,21.52048500881834
RSPH6A,8,85,0.3761642961076829,21.26730283224401
PDK2,93,989,4.37678222177057,21.24848696775643
BECN1,1278,13615,60.25266931183651,21.21067854082507
PIK3R2,406,4347,19.23748464917762,21.104630226039244
RRN3,35,377,1.6683992897952529,20.97819162000196
LPIN1,106,1145,5.067154341685847,20.919039139576256
DGKZ,34,368,1.6285701290309096,20.877209641706926
SCGB1D4,14,155,0.6859466576081277,20.409750298685786
FAM168A,7,78,0.34518605995763846,20.278918566001902
TMEM192,5,56,0.24782588920035586,20.175454695767193
SGK3,48,538,2.3808987212462758,20.16045435770343
ORC1,158,1773,7.846344670575552,20.136765160535607
AKT2,579,6537,28.929247101834395,20.01434734757704
BORCS8,3,34,0.1504657184430732,19.93809640522876
EIF4E1B,3,34,0.1504657184430732,19.93809640522876
AKT3,400,4615,20.42350854749361,19.585273464146702
PREX1,49,566,2.5048116658464536,19.56234900536579
SLC36A1,44,509,2.2525603143389485,19.53332823983119
KXD1,3,35,0.1548911807502224,19.368436507936508
EIF4A1,163,1922,8.505738554340784,19.163532826531007
PIK3C2B,42,497,2.199454766653158,19.095641627543035
TTLL2,2,24,0.10621109537158108,18.83042438271605
SLC38A6,3,36,0.15931664305737162,18.83042438271605
MIR101-2,9,109,0.48237539147926406,18.657668195718653
PRKAA1,1235,15059,66.64303688335997,18.53156845420359
ATG5,690,8418,37.25354170158206,18.52172890103218
KLHL22,7,86,0.38058975841483217,18.392507536606374
PIK3R4,84,1036,4.584778950206583,18.321493993993997
PRKAB1,669,8256,36.53661680782389,18.31039812796081
STK11,947,11776,52.11424412898911,18.171615377478364
RPS6KA2,177,2210,9.780271698799757,18.097656737053796
SGK494,2,25,0.11063655767873028,18.07720740740741
STRADB,7,88,0.3894406830291306,17.9744960016835
MKNK2,52,658,2.9119541981041808,17.857423730721607
CAMKK2,116,1470,6.5054295915093405,17.831259007306627
PTK2B,1645,20865,92.3372710386683,17.815124721534378
WIPI1,64,819,3.6244536295552043,17.65783385338941
TFEC,20,258,1.1417692752444966,17.51667384438702
IRS1,834,10783,47.719760057989944,17.47703674508228
PIK3R1,722,9375,41.488709129523855,17.402324997530865
ATG7,461,5986,26.490817370595177,17.40225654613852
UNC5B-AS1,3,39,0.17259302997881923,17.3819301994302
PIK3R3,105,1374,6.080585210023017,17.268074761442666
ATIC,163,2144,9.48819118652791,17.179249110351023
MBOAT2,19,250,1.1063655767873029,17.173347037037036
PLD1,92,1219,5.3946385524148885,17.05396925227114
UBE2QL1,4,53,0.23454950227890822,17.053969252271138
HERC1,22,292,1.2922349936875697,17.02476725012684
WIPI2,45,599,2.650851921982378,16.975674735670562
PRDX2,196,2613,11.56373300858089,16.949543876061288
DENND1C,3,40,0.17701849228596844,16.947381944444444
SLC7A6,19,255,1.128492888323049,16.836614742193174
ATG12,290,3900,17.259302997881925,16.802532526115858
MIR550A1,2,27,0.1194874822930287,16.73815500685871
ATG14,146,1982,8.771266292769738,16.64525909107897
